feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Hispanic Students 2018-2019,0.054170711739303865,4,0.009110205036687597,1.0,0.010837438423645308,0.0009852216748768461,0.0,0.016197477167968016,0.023206751054852325,-0.004464285714285715,0.019230769230769232,0.0
% Hispanic Students 2021-2022,0.051626030298768145,5,0.011514203169811409,1.0,0.011822660098522153,0.002955665024630538,0.0,0.020471662514653526,0.025316455696202535,-0.013392857142857144,0.019230769230769232,0.0
% On Campus 01/29/21,0.0510971386697444,6,0.023909056530822658,1.0,0.013793103448275845,0.008866995073891614,0.0,0.04250907588864364,0.029535864978902957,-0.040178571428571425,0.019230769230769232,0.0
% Black or African American Students 2018-2019,0.049458341581311245,4,0.00841975194734621,1.0,0.002955665024630538,-0.0019704433497536923,0.0,0.014969886997919946,0.006329113924050634,0.00892857142857143,0.019230769230769232,0.0
% Students Tested Reading - Grade 4 2018-2019,0.04901849600902106,4,0.006074632540635362,1.0,0.008866995073891614,0.0,0.0,0.010800385006099932,0.0189873417721519,-0.0,0.019230769230769232,0.0
% Grades 1-8 2020-2021,0.04827015444734274,6,0.009764434221853998,1.0,0.013793103448275845,0.0039408866995073845,0.0,0.017360663094813416,0.029535864978902957,-0.01785714285714286,0.019230769230769232,0.0
Avg Household Size 10,0.047203052249119255,5,0.007702192656401173,1.0,0.010837438423645308,0.0019704433497536923,0.0,0.013694103392069132,0.023206751054852325,-0.00892857142857143,0.019230769230769232,0.0
% Students Tested Reading - Grade 8 2021-2022,0.04682262723566272,5,0.008399359434782004,1.0,0.005911330049261076,0.0,0.0,0.014933630156792218,0.012658227848101267,-0.0,0.019230769230769232,0.0
Total Students 2018-2019,0.045207356676720954,5,0.00931312764463085,1.0,-0.0039408866995073845,-0.0039408866995073845,0.0,0.016558263154209708,-0.008438818565400845,0.01785714285714286,0.019230769230769232,0.0
% Students Tested Reading - Grade 6 2021-2022,0.0442850527938117,6,0.009207570837201952,1.0,0.0019704433497536923,-0.0009852216748768461,0.0,0.01637058856605633,0.0042194092827004225,0.004464285714285715,0.019230769230769232,0.0
Per Capita Income,0.04412076089839605,7,0.0070174354733088685,1.0,0.007881773399014769,0.0009852216748768461,0.0,0.012476640251110845,0.01687763713080169,-0.004464285714285715,0.019230769230769232,0.0
# of Families 10,0.03848760218813317,5,0.0069948684251034425,0.0,0.005911330049261076,-0.002955665024630538,0.0,0.012436517197174759,0.012658227848101267,0.013392857142857144,0.0,0.0
% Students Tested Reading - Grade 6 2020-2021,0.034805970027444774,4,0.008897937978311045,1.0,0.0019704433497536923,0.0009852216748768461,0.0,0.015820077228260836,0.0042194092827004225,-0.004464285714285715,0.019230769230769232,0.0
% Free or Reduced Lunch 2020-2021,0.031534584160855264,5,0.008795474111227781,1.0,0.008866995073891614,0.0049261083743842304,0.0,0.0156379017293627,0.0189873417721519,-0.022321428571428572,0.019230769230769232,0.0
